Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Gudavalli M., Srinivasa Kumar D., Viswanadha Raju S.",Securing e-governance services through biometrics,2014,International Journal of Security and its Applications,8,1,,103,112,,,10.14257/ijsia.2014.8.1.10,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893962837&partnerID=40&md5=29a2d87412b4577546bbd1bb112dee41,"Department of IT, JNTUK University College of Engineering Vizianagaram, Vizianagaram, Andhra Pradesh, India; Department of CSE, Nalanda Institute of Engineering and Technology, Guntur, Andhra Pradesh, India; CSE, School of Information Technology, Jawaharlal Nehru Technological University (JNTUH), Kukatpally, Hyderabad, India","Gudavalli, M., Department of IT, JNTUK University College of Engineering Vizianagaram, Vizianagaram, Andhra Pradesh, India; Srinivasa Kumar, D., Department of CSE, Nalanda Institute of Engineering and Technology, Guntur, Andhra Pradesh, India; Viswanadha Raju, S., CSE, School of Information Technology, Jawaharlal Nehru Technological University (JNTUH), Kukatpally, Hyderabad, India","E-governance is the application of information & communication technologies to transform the efficiency, effectiveness, transparency and accountability of informational & transactional exchanges with in government, between government & government agencies of National, State, Municipal & Local levels, citizen & businesses, and to empower citizens through access & use of information. Pervasive services of virtual communities and digital governments are achievable only if trust, privacy and security can be secured and strengthened. To meet these requirements, mechanisms, which provide secure management of information and facilities without compromising privacy and civil rights, have to be devised. The success of such mechanisms relies on effective identity authentication. While traditional security measure such as PINs and passwords may be forgotten, stolen, or cracked, biometrics provides authentication mechanisms based on unique human physiological and behavioural characteristics that can be used to identify an individual or authenticate the claimed identity of an individual, but cannot be easily duplicated or forged. This paper discusses the role of biometric authentication in e-governance environment to provide services efficiently and securely over the internet. © 2014 SERSC.",Biometrics; E-governance; Identity and access management; UIDAI,Article,Scopus,2-s2.0-84893962837
"Fahl S., Dechand S., Perl H., Fischer F., Smrcek J., Smith M.","Hey, NSA: Stay away from my market! Future proofing app markets against powerful attackers",2014,Proceedings of the ACM Conference on Computer and Communications Security,,,,1143,1155,,,10.1145/2660267.2660311,http://www.scopus.com/inward/record.url?eid=2-s2.0-84910681482&partnerID=40&md5=9479238ae9143249910c62ffef3e2344,"USECAP, FKIE, Fraunhofer, Bonn, Germany; USECAP, University of Bonn, Bonn, Germany; USECAP, University of Hannover, Hannover, Germany; Zoner, Inc., United States","Fahl, S., USECAP, FKIE, Fraunhofer, Bonn, Germany; Dechand, S., USECAP, University of Bonn, Bonn, Germany; Perl, H., USECAP, FKIE, Fraunhofer, Bonn, Germany; Fischer, F., USECAP, University of Hannover, Hannover, Germany; Smrcek, J., Zoner, Inc., United States; Smith, M., USECAP, University of Bonn, Bonn, Germany","Mobile devices are evolving as the dominant computing platform and consequently application repositories and app markets are becoming the prevalent paradigm for deploying software. Due to their central and trusted position in the software ecosystem, coerced, hacked or malicious app markets pose a serious threat to user security. Currently, there is little that hinders a nation state adversary (NSA) or other powerful attackers from using such central and trusted points of software distribution to deploy customized (malicious) versions of apps to specific users. Due to intransparencies in the current app installation paradigm, this kind of attack is extremely hard to detect. In this paper, we evaluate the risks and drawbacks of current app deployment in the face of powerful attackers. We assess the app signing practices of 97% of all free Google Play apps and find that the current practices make targeted attacks unnecessarily easy and almost impossible to detect for users and app developers alike. We show that high profile Android apps employ intransparent and unaccountable strategies when they publish apps to (multiple) alternative markets. We then present and evaluate Application Transparency (AT), a new framework that can defend against ""targeted-and-stealthy"" attacks, mount by malicious markets. We deployed AT in the wild and conducted an extensive field study in which we analyzed app installations on 253,819 real world Android devices that participate in a popular anti-virus app's telemetry program. We find that AT can effectively protect users against malicious targeted attack apps and furthermore adds transparency and accountability to the current intransparent signing and packaging strategies employed by many app developers. Copyright 2014 ACM.",Android; Application transparency; Apps; Signing,Conference Paper,Scopus,2-s2.0-84910681482
"Brzuska C., Pohls H.C., Pohls H.C., Samelin K., Samelin K.",Efficient and perfectly unlinkable sanitizable signatures without group signatures,2014,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),8341,,,12,30,,2,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84927617271&partnerID=40&md5=f0206cd502da9673e18a4b0120e37071,"Tel Aviv University, Israel; Chair of IT-Security, Germany; Chair of Computer Networks and Computer Communication, Germany; Institute of IT-Security and Security Law (ISL), University of Passau, Germany","Brzuska, C., Tel Aviv University, Israel; Pöhls, H.C., Chair of IT-Security, Germany; Pöhls, H.C., Institute of IT-Security and Security Law (ISL), University of Passau, Germany; Samelin, K., Chair of Computer Networks and Computer Communication, Germany; Samelin, K., Institute of IT-Security and Security Law (ISL), University of Passau, Germany","Sanitizable signatures allow for controlled modification of signed data. The essential security requirements are accountability, privacy and unlinkability. Unlinkability is a strong notion of privacy. Namely, it makes it hard to link two sanitized messages that were derived from the same message-signature pair. In this work, we strengthen the standard unlinkability definition by Brzuska et al. at PKC’10, making it robust against malicious or buggy signers. While state-of-the art schemes deploy costly group signatures to achieve unlinkability, our construction uses standard digital signatures, which makes them compatible with existing infrastructure. We construct a sanitizable signature scheme that satisfies the strong notion of perfect unlinkability and, simultaneously, achieves the strongest notion of accountability, i.e., non-interactive public accountability. Our construction is not only legally compliant, but also highly efficient, as the measurements of our reference implementation show. Finally, we revisit the security model by Canard et al. and correct a small flaw in their security definition given at AfricaCrypt’12. © Springer-Verlag Berlin Heidelberg 2014",,Conference Paper,Scopus,2-s2.0-84927617271
[No author name available],SIGCOMM 2014 - Proceedings of the 2014 ACM Conference on Special Interest Group on Data Communication,2014,SIGCOMM 2014 - Proceedings of the 2014 ACM Conference on Special Interest Group on Data Communication,,,,,,643,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84907319500&partnerID=40&md5=a17bd1fbc601434f1f704dc3b70e7567,,,The proceedings contain 95 papers. The topics discussed include: millions of little minions: using packets for low latency network programming and visibility; duet: cloud scale load balancing with hardware and software; network neutrality inference; balancing accountability and privacy in the network; one tunnel is (often) enough; identifying traffic differentiation on cellular data networks; a user behavior based cheat detection mechanism for crowdtesting; a time for reliability - the growing importance of being always on; vivisecting WhatsApp through large-scale measurements in mobile networks; behind the curtain: the importance of replica selection in next generation cellular networks; native actors: how to scale network forensics; robust full duplex radio link; and demonstrating the prospects of dynamic application-aware networking in a home environment.,,Conference Review,Scopus,2-s2.0-84907319500
Bernsmed K.,Accountable health care service provisioning in the cloud,2014,"Proceedings - 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing, UCC 2014",,,7027614,902,907,,,10.1109/UCC.2014.147,http://www.scopus.com/inward/record.url?eid=2-s2.0-84923673184&partnerID=40&md5=9765191adef3cce06f01b8cc8936e996,"Department of Software Engineering, Safety and Security, SINTEF ICT, Trondheim, Norway","Bernsmed, K., Department of Software Engineering, Safety and Security, SINTEF ICT, Trondheim, Norway","Cloud computing has received a great deal of attention during the past few years. However, processing data remotely in unknown systems creates a number of challenges related to data privacy and security, which may hinder the adoption of cloud technology in, for example, the health care domain. This paper presents results from the ongoing EU FP7 research project, which aims to provide mechanism and tools to enable organisations involved in cloud service delivery chains to act as responsible stewards for the personal data that they process. We outline a number of accountability obligations that will arise in a health care scenario and explain how the project results can be used to meet these challenges. © 2014 IEEE.",A4Cloud; Accountability; Cloud; Governance; Health care; Privacy; Security,Conference Paper,Scopus,2-s2.0-84923673184
Yu X.,A framework for ranking of WSNs performance based on cloud model and entropy weight,2014,International Journal of Smart Home,8,4,,15,24,,,10.14257/ijsh.2014.8.4.02,http://www.scopus.com/inward/record.url?eid=2-s2.0-84926469737&partnerID=40&md5=9386644865817307ce1e6eaa7efc85b8,"School of Computer Engineering, Jiangsu University of Technology, Changzhou, Jiangsu, China","Yu, X., School of Computer Engineering, Jiangsu University of Technology, Changzhou, Jiangsu, China","Wireless Sensor Network (WSN) has become one of the cutting edge technologies, more attention has been paid to the further development and more applications emerging, WSNs is no longer confined to the traditional area. Due to the characters of dynamic, distribution, resource constrained, uncertainty, complexity and heterogeneity, we need a whole evaluation framework of WSNs performance, which can allow users choose and monitor the operation state. In this paper, we construct WSNPI architecture to rank and observe WSNs, which includes WSNPI Broker, Monitoring and WSNs Catalogue. We offer a more comprehensive evaluation index system including accountability, agility, cost, security and privacy, then build a cloud model and entropy weight method to evaluate WSNs performance. Finally, the proposed method has been serviced to complex simulation, and the results have indicated that the model is objective and effective. The first part is the research status and related problems. The second part is the establishment of an evaluation framework and model. The last part is the numerical example analysis and conclusion. © 2014 SERSC.",Non-equilibrium statistical mechanics method; Performance evaluation; WSNs,Article,Scopus,2-s2.0-84926469737
"Wang G., Wang B., Wang T., Nika A., Zheng H., Zhao B.Y.",Whispers in the dark: Analysis of an anonymous social network,2014,"Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC",,,,137,149,,,10.1145/2663716.2663728,http://www.scopus.com/inward/record.url?eid=2-s2.0-84910150762&partnerID=40&md5=fb0ded320bf309d291147d5fc22c3fd1,"Department of Computer Science, UC Santa Barbara, United States","Wang, G., Department of Computer Science, UC Santa Barbara, United States; Wang, B., Department of Computer Science, UC Santa Barbara, United States; Wang, T., Department of Computer Science, UC Santa Barbara, United States; Nika, A., Department of Computer Science, UC Santa Barbara, United States; Zheng, H., Department of Computer Science, UC Santa Barbara, United States; Zhao, B.Y., Department of Computer Science, UC Santa Barbara, United States","Social interactions and interpersonal communication has undergone significant changes in recent years. Increasing awareness of privacy issues and events such as the Snowden disclosures have led to the rapid growth of a new generation of anonymous social networks and messaging applications. By removing traditional concepts of strong identities and social links, these services encourage communication between strangers, and allow users to express themselves without fear of bullying or retaliation. Despite millions of users and billions of monthly page views, there is little empirical analysis of how services like Whisper have changed the shape and content of social interactions. In this paper, we present results of the first large-scale empirical study of an anonymous social network, using a complete 3-month trace of the Whisper network covering 24 million whispers written by more than 1 million unique users. We seek to understand how anonymity and the lack of social links affect user behavior. We analyze Whisper from a number of perspectives, including the structure of user interactions in the absence of persistent social links, user engagement and network stickiness over time, and content moderation in a network with minimal user accountability. Finally, we identify and test an attack that exposes Whisper users to detailed location tracking. We have notified Whisper and they have taken steps to address the problem. Copyright © 2014 by the Association for Computing Machinery, Inc. (ACM).",Anonymous social networks; Graphs; Privacy; User engagement,Conference Paper,Scopus,2-s2.0-84910150762
"Yuan C., Xu J., Zhu C.",A trusted recovery model for assurance of integrity policy validity,2014,Jisuanji Yanjiu yu Fazhan/Computer Research and Development,51,2,,360,372,,,10.7544/issn1000-1239.2014.20120743,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896054782&partnerID=40&md5=b8d4ffb234e22f9322e3ba179e5ee389,"National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing 100029, China; School of Computer Science, Beijing University of Posts and Telecommunications, Beijing 102209, China","Yuan, C., National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing 100029, China; Xu, J., National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing 100029, China; Zhu, C., National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing 100029, China, School of Computer Science, Beijing University of Posts and Telecommunications, Beijing 102209, China","Access control is one of the most important protection mechanisms of current mainstream operating systems. It is the process of mediating every request to resources and data maintained by a system and determining whether the request should be granted or denied. The access control decision is enforced by a mechanism implementing regulations established by a security policy. There are some typical security policies of access control. The mainstream operating systems is inadequate to support multi-policy at the same time for enforcing different access control decision. Integrity of multi-policy is an important part of access control research in secure systems. Trusted recovery is the necessary function of high-level security operating system. The objective of trusted recovery is to ensure the maintenance of the security and accountability properties of a system in the face of failures. This paper presents a trusted recovery monitoring model, which can solve some limits of strict security policy for access control. Firstly, the framework of model is given. The formal Clark-Wilson model and its improved model PCW (Povey's Clark-Wilson) are implemented by configuring TE (type enforcement) and RBAC (role-based access control) model. Secondly, combining the characteristics of a file system in operating system, this paper presents how to recover the file system to its last consistency secure state, in conservative and optimistic recovery policy respectively, by analyzing audit logs and undoing some malicious operations. This method can recover the system to a secure state in the face of failures and improves the availability of the system. It provides an important exploration for the design and implementation of the trusted recovery mechanisms of our own high-level secure operating system.",Access control; Information security; Integrity policy; Security operating system; Trusted recovery,Article,Scopus,2-s2.0-84896054782
Si Y.,A formal analysis method based on colored Petri Net for E-commerce protocols,2014,ICIC Express Letters,8,9,,2585,2591,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84940254593&partnerID=40&md5=7b41c526a375f60ab07bc2b3076205ea,"College of Liren, Yanshan University, No. 438, Hebei Ave., Qinhuangdao 066004, China","Si, Y., College of Liren, Yanshan University, No. 438, Hebei Ave., Qinhuangdao 066004, China","An E-commerce protocol formal analysis method based on Colored Petri Net is proposed which improves the timeliness disadvantage in the existing CPN methods. The method can analyze three important security properties of E-commerce protocols: accountability, fairness and timeliness. In order to analyze timeliness, status color set is established which represents whether an entity successfully receives messages or not, timeliness color set is established which represents the entity's self-defined time factor, and full consideration of timeliness effects on fairness is given in order to analyze more accurately. After giving the method, KZG protocol is taken as an example, the corresponding hierarchical CPN model is established and simulated by CPN Tools, and the analysis of protocol's property using state space and query function shows that the proposed method is correct and effective. © 2014 ISSN 1881-803X.",Colored Petri Net; E-commerce protocol; Formal analysis; Timeliness,Article,Scopus,2-s2.0-84940254593
"Schumann M.A., Drusinsky D., Michael J.B., Wijesekera D.",Modeling human-in-the-loop security analysis and decision-making processes,2014,IEEE Transactions on Software Engineering,40,2,6727512,154,166,,,10.1109/TSE.2014.2302433,http://www.scopus.com/inward/record.url?eid=2-s2.0-84898493928&partnerID=40&md5=15a7fd24185b0d15f1c39fddd5f95b67,"KEYW Corporation, 7740 Milestone Pkwy, Hanover, MD 21060, United States; Department of Computer Science, Naval Postgraduate School, Monterey, CA 93943, United States; Departments of Computer Science and Electrical and Computer Engineering, Naval Postgraduate School, 900 N Glebe Road, Arlington, VA 22203, United States; Department of Computer Science, George Mason University, Fairfax, VA 22030, United States","Schumann, M.A., KEYW Corporation, 7740 Milestone Pkwy, Hanover, MD 21060, United States; Drusinsky, D., Department of Computer Science, Naval Postgraduate School, Monterey, CA 93943, United States; Michael, J.B., Departments of Computer Science and Electrical and Computer Engineering, Naval Postgraduate School, 900 N Glebe Road, Arlington, VA 22203, United States; Wijesekera, D., Department of Computer Science, George Mason University, Fairfax, VA 22030, United States","This paper presents a novel application of computer-assisted formal methods for systematically specifying, documenting, statically and dynamically checking, and maintaining human-centered workflow processes. This approach provides for end-to-end verification and validation of process workflows, which is needed for process workflows that are intended for use in developing and maintaining high-integrity systems. We demonstrate the technical feasibility of our approach by applying it on the development of the US government's process workflow for implementing, certifying, and accrediting cross-domain computer security solutions. Our approach involves identifying human-in-the-loop decision points in the process activities and then modeling these via statechart assertions. We developed techniques to specify and enforce workflow hierarchies, which was a challenge due to the existence of concurrent activities within complex workflow processes. Some of the key advantages of our approach are: it results in development of a model that is executable, supporting both upfront and runtime checking of process-workflow requirements; aids comprehension and communication among stakeholders and process engineers; and provides for incorporating accountability and risk management into the engineering of process workflows. © 2014 IEEE.",Formal methods; information assurance; process modeling; software engineering; statechart assertions; verification and validation,Article,Scopus,2-s2.0-84898493928
[No author name available],"15th International Conference on Business Process Modeling, Development and Support, BPMDS 2014 and 19th International Conference on Exploring Modeling Methods for Systems Analysis and Design, EMMSAD 2014",2014,Lecture Notes in Business Information Processing,175 LNBIP,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84904535770&partnerID=40&md5=88b08df18d3493807486c52d4c0d016d,,,"The proceedings contain 33 papers. The special focus in this conference is on Business Process Modeling, Development and Support, and Exploring Modeling Methods for Systems Analysis and Design. The topics include: Behavior patterns in process modeling; how advanced change patterns impact the process of process modeling; a participative end-user modeling approach for business process requirements; addressing the paradigmatic limitation of conventional business process management concepts by proposing new definitions; towards process-aware cross-organizational human resource management; a framework for synchronizing human behavior, processes and support systems using a socio-technical approach; enhancing feasibility of human-driven processes by transforming process models to process checklists; towards a methodology for fabric-process design; comparing business process variants using models and event logs; a model-driven approach for accountability in business processes; modeling and verifying security policies in business processes; towards a consistent cross-disciplinary ontology for business process; a data-centric approach for business process improvement based on decision theory; a criteria catalogue for evaluating business process pattern approaches; category structure of language types common to conceptual modeling languages; model comprehension and stakeholder appropriateness of security risk-oriented modelling languages; classification and qualitative analysis of non-functional requirements approaches; context-based variant generation of business process models; linguistic consistency of goal models; a design science perspective on business strategy modeling; a conceptual framework for time distortion analysis in method components and applicability of SSM and UML for designing a search application for the British broadcasting corporation (BBC).",,Conference Review,Scopus,2-s2.0-84904535770
"Hemalatha S., Manickachezian R.",An efficient RSA based data integrity schema in secured cloud storage,2014,"Research Journal of Applied Sciences, Engineering and Technology",8,20,,2103,2109,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84924720254&partnerID=40&md5=29ec0a916b96febcdc8035a8a7907cb8,"Department of Computer Science, N.G.M. College, Pollachi, Coimbatore, Tamil Nadu, India","Hemalatha, S., Department of Computer Science, N.G.M. College, Pollachi, Coimbatore, Tamil Nadu, India; Manickachezian, R., Department of Computer Science, N.G.M. College, Pollachi, Coimbatore, Tamil Nadu, India","This study aim is to address the problem of outsourcing data. Cloud computing is the delivery of computing as a service rather than a product, whereby shared resources, software and information are provided to computers and other devices as a utility over a network. The imperative feature of cloud services is that the user data are frequently processed remotely in unidentified machines that users do not own or operate. Due to this reason, the data owner loss their original data and it becomes an important obstruction to the extensive implementation of cloud services. This study introduces the term data accountability based encryption and users can substitute to a Third-Party Auditor (TPA) for the verification of data integrity problem. This study proposes the security of the outsourced data in cloud by generating keys for each cloud user attribute with Attribute Based Encryption (ABE) using Efficient RSA (Rivest, Shamir, Adleman) schema and Ring Based Fully Homomorphic Encryption (RBFHE) schema for uploading user data. © Maxwell Scientific Organization, 2014.",Cloud computing; Data accountability; Data integrity; Data storage; Public auditability,Article,Scopus,2-s2.0-84924720254
